,open,high,low,close,volume_btc,volume,weighted_price,cycle,close_-1_s,close_-1_d,rs_12,rsi_12,change,vr,macd,macds,macdh,Obv
2011-12-01,4.465,4.4825,4.465,4.4825,95.3179,425.3203,4.4716,2012,,,,,,,0.0,0.0,0.0,0.0
2012-01-01,6.208048387096775,6.210658064516129,6.205758064516129,6.208932258064516,2019.9203000000002,12609.2871,6.208551612903226,2012,4.4825,1.7264322580645164,inf,100.0,38.514941618840304,inf,0.03873405707195943,0.021518920595533016,0.01721513647642641,12609.2871
2012-02-01,5.253113793103449,5.255072413793104,5.250544827586205,5.2525137931034465,4797.1737,24372.1467,5.252520689655173,2012,6.208932258064516,-0.9564184649610699,1.6546762334729948,62.33062294411155,-15.40391206102819,51.73646480636028,0.019696397540681865,0.020771984917315328,-0.0010755873766334634,-11762.859600000002
2012-03-01,4.963506451612904,4.964416129032258,4.960141935483871,4.96106129032258,9012.290200000001,45370.2823,4.962022580645162,2012,5.2525137931034465,-0.2914525027808663,1.241842685900581,55.39383711938354,-5.548819370327851,18.079793435356258,3.2206476413776386e-05,0.013746314713757894,-0.013714108237344117,-57133.1419
2012-04-01,4.976730000000001,4.978060000000001,4.975059999999999,4.97642,16479.773999999998,82245.75140000001,4.976543333333333,2012,4.96106129032258,0.015358709677419924,1.256185601915891,55.677405300750635,0.30958516290415794,136.00764966187228,-0.010042540439636483,0.006669668130763375,-0.01671220857039986,25112.609500000006
2012-05-01,5.041519354838709,5.0419064516129035,5.040796774193548,5.041148387096774,18860.173199999994,95186.27060000002,5.041361290322581,2012,4.97642,0.06472838709677387,1.322128202523836,56.93605551523225,1.3007018518689017,272.49023560679257,-0.013142239528192157,0.0012995396344292586,-0.014441779162621415,120298.88010000002
2012-06-01,5.971083333333332,5.972650000000001,5.9696566666666655,5.971216666666667,63386.9004,390614.9759000001,5.971143333333332,2012,5.041148387096774,0.9300682795698929,2.355780987061802,70.2006774621021,18.449531895360938,832.5725004501925,0.027229924100601544,0.007861828183107477,0.01936809591749407,510913.8560000001
2012-07-01,7.79511612903226,7.7979032258064525,7.792529032258067,7.795280645161292,50704.10069999999,398154.4582000001,7.795280645161291,2012,5.971216666666667,1.8240639784946255,4.5672887796079085,82.03793552684314,30.547609981683664,1403.4652323336777,0.14061501184813174,0.03976491464198495,0.1008500972061468,909068.3142000001
2012-08-01,10.91776451612903,10.92341290322581,10.910980645161292,10.916209677419356,83271.78660000002,897971.2973999998,10.917096774193547,2012,7.795280645161292,3.120929032258064,8.695109826673379,89.68552169209285,40.036134352588014,2691.019036059097,0.3718331852440091,0.116474332550238,0.2553588526937711,1807039.6116
2012-09-01,11.410776666666669,11.413406666666667,11.40813333333333,11.410776666666665,55624.064600000005,632100.6805,11.410966666666665,2012,10.916209677419356,0.4945669892473088,9.40870294635536,90.39265501999792,4.530574291462552,3597.35494887911,0.5559182243229444,0.21493527399023302,0.3409829503327113,2439140.2921
2012-10-01,11.597506451612901,11.600441935483868,11.594041935483869,11.597106451612905,83766.9314,977411.2266999999,11.596916129032259,2012,11.410776666666665,0.1863297849462402,9.701992349931652,90.6559454791015,1.6329281554563257,4998.813488127865,0.6910715240852703,0.3191111648989309,0.3719603591863394,3416551.5188
2012-11-01,11.297058620689656,11.298551724137933,11.294531034482763,11.29599655172414,84150.01769999998,954375.3930000002,11.296155172413792,2012,11.597106451612905,-0.3011098998887647,6.395326016972768,86.47794569563352,-2.5964226606446927,340.4192245177039,0.7642170039058964,0.4147012320995066,0.3495157718063898,2462176.1258
2012-12-01,13.154483870967741,13.156193548387096,13.152367741935484,13.154077419354836,91543.25030000001,1201715.2155000002,13.154016129032257,2016,11.29599655172414,1.8580808676306955,8.689664996804362,89.67972576626954,16.449021200764193,457.760724654199,0.9132856084378158,0.520219008469989,0.3930665999678268,3663891.3413000004
2013-01-01,15.321145161290321,15.324258064516131,15.318193548387097,15.32134193548387,124203.11469999999,1966747.8358,15.321193548387097,2016,13.154077419354836,2.167264516129034,11.609063987598693,92.06919719827322,16.47599027310067,649.8038464074301,1.1386101240528408,0.6495868912412708,0.48902323281157,5630639.177100001
