Date,open,high,low,close,volume_btc,volume,weighted_price,cycle,close_-1_s,close_-1_d,rs_14,rsi_14,change,vr,macd,macds,macdh,Obv
2011-12-31,4.465,4.4825,4.465,4.4825,95.3179,425.3203,4.4716,2012,,,,,,,0.0,0.0,0.0,0.0
2012-01-01,4.8067,4.8067,4.8067,4.8067,21.601999999999997,105.7792,4.8067,2012,4.4825,0.32420000000000027,inf,100.0,7.232571109871722,inf,0.007273717948717895,0.004040954415954386,0.003232763532763509,105.7792
2012-01-02,5.0,5.0,5.0,5.0,19.048,95.24,5.0,2012,4.8067,0.1932999999999998,inf,100.0,4.021470031414487,inf,0.015262381837490402,0.008639900080518325,0.0066224817569720765,201.0192
2012-01-03,5.2525,5.2525,5.2525,5.2525,88.0373,464.8052,5.2525,2012,5.0,0.2525000000000004,inf,100.0,5.049999999999999,inf,0.02763815687905069,0.01507562392825964,0.01256253295079105,665.8244
2012-01-04,5.2,5.2233,5.2,5.2233,107.2333,568.0762,5.2082,2012,5.2525,-0.029200000000000337,22.62701685370797,95.7675570886002,-0.5559257496430381,117.20688175283527,0.03261917995052066,0.020294435215224487,0.012324744735296173,97.7482
2012-01-05,6.2814,6.2862,6.2814,6.2862,94.8018,587.7348,6.2841,2012,5.2233,1.0629,61.82775447225337,98.40834674356915,20.349204525874455,220.66743862883183,0.08045054453042333,0.03660008545462047,0.04385045907580286,685.483
2012-01-06,6.435,6.445,6.435,6.445,33.8827,222.8052,6.439,2012,6.2862,0.15880000000000027,68.13496043804726,98.55355381175619,2.526168432439313,259.8884445431792,0.11693343957660751,0.05693031428402147,0.06000312529258604,908.2882
2012-01-07,6.8,6.8,6.8,6.8,0.2959,2.0118,6.8,2012,6.445,0.35499999999999954,83.31942742603194,98.81403369244029,5.508145849495727,260.2425871740446,0.1563999384253103,0.08083473549186974,0.07556520293344056,910.3
2012-01-08,6.95,6.95,6.95,6.95,5.0,34.6,6.95,2012,6.8,0.15000000000000036,90.22893569792097,98.90385655346104,2.205882352941191,266.33331936807065,0.188792100979283,0.10577342249871417,0.08301867848056883,944.9
2012-01-09,6.5842,6.5842,6.5817,6.5817,66.8693,443.0447,6.5828,2012,6.95,-0.3683000000000005,4.6823144582480705,82.40153713160899,-5.299280575539578,149.63356014102766,0.19005262983081916,0.12465685734237715,0.06539577248844201,501.8553
2012-01-10,6.603,6.603,6.603,6.603,62.29,413.2041,6.603,2012,6.5817,0.021300000000000097,4.741364416455132,82.58253739940399,0.3236245954692629,190.49950406524084,0.18943294562075152,0.13882949533125782,0.0506034502894937,915.0594
2012-01-11,7.1196,7.1219,7.1196,7.1219,105.3589,743.0116,7.1207,2012,6.603,0.5189000000000004,6.290567473121843,86.28364659285161,7.858549144328331,263.98345637994424,0.2149051019230015,0.15516734513941444,0.05973775678358706,1658.071
2012-01-12,7.0625,7.0625,7.0625,7.0625,82.3016,598.0616,7.0625,2012,7.1219,-0.05940000000000012,5.281825968254838,84.08106169999786,-0.8340470941743061,165.87254087090807,0.22758974131123377,0.17049444034363165,0.057095300967602125,1060.0094
2012-01-13,6.9688,6.9841,6.9406,6.9603,48.9701,344.9374,6.9692,2012,7.0625,-0.10219999999999985,4.071948312542696,80.28371074825337,-1.4470796460177016,136.59304631205075,0.2282053265011994,0.18256760078679576,0.04563772571440364,715.0719999999999
2012-01-14,6.42,6.42,6.41,6.41,16.836,108.4868,6.4141,2012,6.9603,-0.5503,1.7489059620146072,63.621891260800936,-7.906268407970918,129.40867010661802,0.19310219536581208,0.18475135367683213,0.008350841688979954,606.5851999999999
2012-01-15,7.15,7.15,7.15,7.15,16.6993,119.4,7.15,2012,6.41,0.7400000000000002,2.5750804139154226,72.02860119991534,11.544461778471149,135.197461542232,0.20891982735605907,0.18972504538854967,0.0191947819675094,725.9851999999998
2012-01-16,6.7143,6.7143,6.7143,6.7143,12.6493,86.75,6.7143,2012,7.15,-0.43570000000000064,1.6898444970168092,62.823129697309376,-6.093706293706303,129.74076848203,0.19142719956404886,0.19007331864007856,0.001353880923970291,639.2351999999998
2012-01-17,6.1542,6.1542,6.1417,6.1417,80.514,493.4058,6.1483,2012,6.7143,-0.5725999999999996,1.1367651437399302,53.20028488251529,-8.528066961559656,105.51806679563525,0.13957832143414617,0.17978905436384315,-0.040210732929696985,145.82939999999985
2012-01-18,6.2392,6.2469,6.2369,6.2447,133.4468,820.9326,6.2407,2012,6.1417,0.10299999999999976,1.2001683570843702,54.54893273143948,1.6770600973671668,136.5814937967373,0.10464157351898162,0.1645397931805257,-0.05989821966154407,966.7619999999998
2012-01-19,6.2257,6.2257,6.2257,6.2257,246.7158,1542.2212,6.2257,2012,6.2447,-0.019000000000000128,1.1852397754913564,54.238431351308,-0.30425801079315695,86.24942792489252,0.0752129324228612,0.14646604489835918,-0.07125311247549798,-575.4592000000001
2012-01-20,6.835,6.835,6.835,6.835,95.82600000000001,647.2017,6.835,2012,6.2257,0.6093000000000002,1.6148144151238308,61.756368091896015,9.786851277767973,101.71428385730633,0.0918849529123511,0.13544820486347328,-0.04356325195112218,71.74249999999984
2012-01-21,6.386,6.386,6.386,6.386,81.4139,512.2626,6.386,2012,6.835,-0.44899999999999984,1.20426844920343,54.6334748673023,-6.569129480614477,90.62173725061,0.07358051575986035,0.1229826877612583,-0.049402172001397945,-440.5201000000002
